Filename,Model,Translation Count,Final Language,Last Language,BLEU,METEOR,ROUGE
gpt-3.5-turbo_english_to_arabic_to_english.txt,gpt-3.5-turbo,2,english,arabic,0.2886,0.5311,0.6220
claude-3-7-sonnet-20250219_english_to_arabic_to_mandarin_to_french_to_english.txt,claude-3-7-sonnet-20250219,4,english,french,0.0146,0.1842,0.1885
gemini-2.0-flash_english_to_mandarin_to_french_to_arabic_to_english.txt,gemini-2.0-flash,4,english,arabic,0.0140,0.2132,0.2066
deepseek-chat_english_to_french_to_mandarin_to_english.txt,deepseek-chat,3,english,mandarin,0.0033,0.0991,0.1259
gemini-2.0-flash_english_to_mandarin_to_english.txt,gemini-2.0-flash,2,english,mandarin,0.0182,0.2256,0.2618
gemini-2.0-flash_english_to_french_to_mandarin_to_arabic.txt,gemini-2.0-flash,3,arabic,mandarin,0.0000,0.0000,0.0000
gpt-4-turbo_english_to_arabic_to_french.txt,gpt-4-turbo,2,french,arabic,0.0071,0.1645,0.1463
claude-3-7-sonnet-20250219_english_to_french_to_arabic.txt,claude-3-7-sonnet-20250219,2,arabic,french,0.0021,0.0057,0.0000
gpt-4-turbo_english_to_mandarin_to_arabic_to_french_to_english.txt,gpt-4-turbo,4,english,french,0.0029,0.1282,0.1887
gpt-4-turbo_english_to_mandarin_to_english.txt,gpt-4-turbo,2,english,mandarin,0.0988,0.2785,0.4138
gpt-4-turbo_english_to_french_to_mandarin_to_english.txt,gpt-4-turbo,3,english,mandarin,0.0118,0.1417,0.2300
deepseek-chat_english_to_french_to_arabic_to_english.txt,deepseek-chat,3,english,arabic,0.0077,0.1263,0.1730
gemini-2.0-flash_english_to_arabic_to_mandarin.txt,gemini-2.0-flash,2,mandarin,arabic,0.0000,0.0000,0.0000
gpt-3.5-turbo_english_to_french_to_mandarin_to_arabic_to_english.txt,gpt-3.5-turbo,4,english,arabic,0.0300,0.1852,0.2537
deepseek-chat_english_to_arabic_to_mandarin.txt,deepseek-chat,2,mandarin,arabic,0.0000,0.0000,0.0000
claude-3-7-sonnet-20250219_english_to_mandarin_to_arabic_to_french_to_english.txt,claude-3-7-sonnet-20250219,4,english,french,0.0029,0.1390,0.2028
gemini-2.0-flash_english_to_french_to_arabic_to_mandarin_to_english.txt,gemini-2.0-flash,4,english,mandarin,0.0074,0.1319,0.1905
gemini-2.0-flash_english_to_mandarin_to_arabic_to_french.txt,gemini-2.0-flash,3,french,arabic,0.0029,0.1343,0.1386
deepseek-chat_english_to_french_to_mandarin.txt,deepseek-chat,2,mandarin,french,0.0000,0.0000,0.0000
gemini-2.0-flash_english_to_french_to_mandarin.txt,gemini-2.0-flash,2,mandarin,french,0.0000,0.0000,0.0000
gpt-3.5-turbo_english_to_mandarin_to_arabic_to_english.txt,gpt-3.5-turbo,3,english,arabic,0.0031,0.1351,0.2049
deepseek-chat_english_to_arabic.txt,deepseek-chat,1,arabic,english,0.0024,0.0115,0.0000
deepseek-chat_english_to_mandarin_to_french.txt,deepseek-chat,2,french,mandarin,0.0053,0.1305,0.1271
gpt-4-turbo_english_to_arabic_to_mandarin_to_french_to_english.txt,gpt-4-turbo,4,english,french,0.0330,0.1199,0.1915
gpt-3.5-turbo_english_to_arabic_to_french.txt,gpt-3.5-turbo,2,french,arabic,0.0053,0.1561,0.1517
claude-3-7-sonnet-20250219_english_to_french.txt,claude-3-7-sonnet-20250219,1,french,english,0.0058,0.1276,0.1571
gpt-3.5-turbo_english_to_arabic_to_french_to_mandarin_to_english.txt,gpt-3.5-turbo,4,english,mandarin,0.0336,0.2195,0.2500
gemini-2.0-flash_english_to_mandarin_to_french.txt,gemini-2.0-flash,2,french,mandarin,0.0030,0.1388,0.1338
gpt-3.5-turbo_english_to_french_to_arabic_to_english.txt,gpt-3.5-turbo,3,english,arabic,0.0122,0.1513,0.1865
gpt-3.5-turbo_english_to_french_to_arabic_to_mandarin.txt,gpt-3.5-turbo,3,mandarin,arabic,0.0000,0.0000,0.0000
gemini-2.0-flash_english_to_mandarin_to_arabic_to_english.txt,gemini-2.0-flash,3,english,arabic,0.0050,0.1333,0.2028
gemini-2.0-flash_english_to_mandarin.txt,gemini-2.0-flash,1,mandarin,english,0.0000,0.0000,0.0000
deepseek-chat_english_to_mandarin.txt,deepseek-chat,1,mandarin,english,0.0000,0.0000,0.0000
deepseek-chat_english_to_french_to_arabic_to_mandarin.txt,deepseek-chat,3,mandarin,arabic,0.0000,0.0000,0.0000
gemini-2.0-flash_english_to_french_to_english.txt,gemini-2.0-flash,2,english,french,0.1544,0.4554,0.5143
gpt-4-turbo_english_to_arabic.txt,gpt-4-turbo,1,arabic,english,0.0027,0.0171,0.0000
gpt-3.5-turbo_english_to_mandarin.txt,gpt-3.5-turbo,1,mandarin,english,0.0000,0.0000,0.0000
deepseek-chat_english_to_french.txt,deepseek-chat,1,french,english,0.0056,0.1314,0.1423
gpt-4-turbo_english_to_arabic_to_french_to_english.txt,gpt-4-turbo,3,english,french,0.0367,0.2468,0.2680
deepseek-chat_english_to_arabic_to_mandarin_to_french_to_english.txt,deepseek-chat,4,english,french,0.0140,0.1716,0.2043
gpt-4-turbo_english_to_arabic_to_mandarin_to_french.txt,gpt-4-turbo,3,french,mandarin,0.0033,0.1153,0.1527
gpt-3.5-turbo_english_to_mandarin_to_french_to_arabic_to_english.txt,gpt-3.5-turbo,4,english,arabic,0.0027,0.1272,0.1826
gpt-4-turbo_english_to_mandarin_to_french_to_arabic.txt,gpt-4-turbo,3,arabic,french,0.0025,0.0169,0.0000
gemini-2.0-flash_english_to_arabic_to_mandarin_to_english.txt,gemini-2.0-flash,3,english,mandarin,0.0162,0.1613,0.2128
gemini-2.0-flash_english_to_french_to_arabic_to_mandarin.txt,gemini-2.0-flash,3,mandarin,arabic,0.0000,0.0000,0.0000
gpt-3.5-turbo_english_to_arabic_to_mandarin_to_english.txt,gpt-3.5-turbo,3,english,mandarin,0.0324,0.1371,0.2030
gpt-3.5-turbo_english_to_french_to_english.txt,gpt-3.5-turbo,2,english,french,0.2157,0.4702,0.5537
gpt-4-turbo_english_to_french.txt,gpt-4-turbo,1,french,english,0.0056,0.1272,0.1512
deepseek-chat_english_to_mandarin_to_arabic_to_french.txt,deepseek-chat,3,french,arabic,0.0053,0.1596,0.1409
claude-3-7-sonnet-20250219_english_to_french_to_mandarin_to_english.txt,claude-3-7-sonnet-20250219,3,english,mandarin,0.0070,0.1017,0.2073
gemini-2.0-flash_english_to_mandarin_to_arabic.txt,gemini-2.0-flash,2,arabic,mandarin,0.0027,0.0226,0.0000
claude-3-7-sonnet-20250219_english_to_mandarin.txt,claude-3-7-sonnet-20250219,1,mandarin,english,0.0000,0.0000,0.0000
gpt-4-turbo_english_to_arabic_to_french_to_mandarin.txt,gpt-4-turbo,3,mandarin,french,0.0000,0.0000,0.0000
deepseek-chat_english_to_mandarin_to_arabic.txt,deepseek-chat,2,arabic,mandarin,0.0027,0.0281,0.0000
claude-3-7-sonnet-20250219_english_to_arabic.txt,claude-3-7-sonnet-20250219,1,arabic,english,0.0029,0.0227,0.0000
gpt-3.5-turbo_english_to_mandarin_to_arabic_to_french.txt,gpt-3.5-turbo,3,french,arabic,0.0054,0.1433,0.1492
gemini-2.0-flash_english_to_french_to_mandarin_to_arabic_to_english.txt,gemini-2.0-flash,4,english,arabic,0.0050,0.1218,0.1860
gpt-3.5-turbo_english_to_french_to_arabic_to_mandarin_to_english.txt,gpt-3.5-turbo,4,english,mandarin,0.0290,0.1369,0.2176
claude-3-7-sonnet-20250219_english_to_mandarin_to_french_to_arabic.txt,claude-3-7-sonnet-20250219,3,arabic,french,0.0026,0.0225,0.0000
claude-3-7-sonnet-20250219_english_to_arabic_to_mandarin_to_french.txt,claude-3-7-sonnet-20250219,3,french,mandarin,0.0057,0.1318,0.1708
deepseek-chat_english_to_mandarin_to_arabic_to_french_to_english.txt,deepseek-chat,4,english,french,0.0028,0.1281,0.1574
gemini-2.0-flash_english_to_mandarin_to_french_to_english.txt,gemini-2.0-flash,3,english,french,0.0053,0.1577,0.1896
claude-3-7-sonnet-20250219_english_to_arabic_to_french_to_english.txt,claude-3-7-sonnet-20250219,3,english,french,0.0093,0.2078,0.2462
deepseek-chat_english_to_french_to_arabic.txt,deepseek-chat,2,arabic,french,0.0000,0.0000,0.0000
gemini-2.0-flash_english_to_arabic_to_english.txt,gemini-2.0-flash,2,english,arabic,0.3126,0.6122,0.6629
gemini-2.0-flash_english_to_arabic_to_french_to_mandarin_to_english.txt,gemini-2.0-flash,4,english,mandarin,0.0149,0.1961,0.2359
gpt-3.5-turbo_english_to_french_to_mandarin_to_arabic.txt,gpt-3.5-turbo,3,arabic,mandarin,0.0028,0.0227,0.0000
gemini-2.0-flash_english_to_french_to_arabic_to_english.txt,gemini-2.0-flash,3,english,arabic,0.0144,0.1432,0.2304
claude-3-7-sonnet-20250219_english_to_arabic_to_french_to_mandarin.txt,claude-3-7-sonnet-20250219,3,mandarin,french,0.0000,0.0000,0.0000
deepseek-chat_english_to_french_to_mandarin_to_arabic.txt,deepseek-chat,3,arabic,mandarin,0.0031,0.0339,0.0000
gpt-3.5-turbo_english_to_mandarin_to_french_to_english.txt,gpt-3.5-turbo,3,english,french,0.0027,0.1214,0.1826
gemini-2.0-flash_english_to_french_to_arabic.txt,gemini-2.0-flash,2,arabic,french,0.0021,0.0057,0.0000
gpt-4-turbo_english_to_french_to_arabic.txt,gpt-4-turbo,2,arabic,french,0.0024,0.0114,0.0000
claude-3-7-sonnet-20250219_english_to_arabic_to_french.txt,claude-3-7-sonnet-20250219,2,french,arabic,0.0033,0.1320,0.1644
deepseek-chat_english_to_mandarin_to_french_to_english.txt,deepseek-chat,3,english,french,0.0028,0.1054,0.1604
claude-3-7-sonnet-20250219_english_to_arabic_to_french_to_mandarin_to_english.txt,claude-3-7-sonnet-20250219,4,english,mandarin,0.0504,0.2511,0.2640
claude-3-7-sonnet-20250219_english_to_mandarin_to_arabic_to_english.txt,claude-3-7-sonnet-20250219,3,english,arabic,0.0053,0.1453,0.2056
gpt-3.5-turbo_english_to_arabic_to_mandarin.txt,gpt-3.5-turbo,2,mandarin,arabic,0.0000,0.0000,0.0000
gpt-4-turbo_english_to_mandarin_to_arabic.txt,gpt-4-turbo,2,arabic,mandarin,0.0021,0.0057,0.0000
gpt-4-turbo_english_to_french_to_mandarin_to_arabic_to_english.txt,gpt-4-turbo,4,english,arabic,0.0112,0.1235,0.2167
claude-3-7-sonnet-20250219_english_to_french_to_arabic_to_mandarin.txt,claude-3-7-sonnet-20250219,3,mandarin,arabic,0.0000,0.0000,0.0000
deepseek-chat_english_to_french_to_arabic_to_mandarin_to_english.txt,deepseek-chat,4,english,mandarin,0.0085,0.1528,0.1714
gpt-4-turbo_english_to_french_to_arabic_to_english.txt,gpt-4-turbo,3,english,arabic,0.0125,0.1572,0.1959
gpt-4-turbo_english_to_mandarin_to_french_to_english.txt,gpt-4-turbo,3,english,french,0.0048,0.1156,0.1918
deepseek-chat_english_to_arabic_to_english.txt,deepseek-chat,2,english,arabic,0.3015,0.5283,0.6424
gpt-3.5-turbo_english_to_mandarin_to_arabic_to_french_to_english.txt,gpt-3.5-turbo,4,english,french,0.0030,0.1460,0.2095
claude-3-7-sonnet-20250219_english_to_mandarin_to_arabic.txt,claude-3-7-sonnet-20250219,2,arabic,mandarin,0.0025,0.0169,0.0000
gemini-2.0-flash_english_to_arabic_to_french_to_english.txt,gemini-2.0-flash,3,english,french,0.0167,0.2243,0.2245
claude-3-7-sonnet-20250219_english_to_french_to_mandarin_to_arabic_to_english.txt,claude-3-7-sonnet-20250219,4,english,arabic,0.0135,0.1297,0.2143
gpt-3.5-turbo_english_to_french_to_arabic.txt,gpt-3.5-turbo,2,arabic,french,0.0021,0.0057,0.0000
gpt-3.5-turbo_english_to_mandarin_to_french.txt,gpt-3.5-turbo,2,french,mandarin,0.0061,0.1220,0.1447
gpt-3.5-turbo_english_to_french.txt,gpt-3.5-turbo,1,french,english,0.0066,0.1268,0.1597
gpt-4-turbo_english_to_arabic_to_english.txt,gpt-4-turbo,2,english,arabic,0.1735,0.4169,0.5783
claude-3-7-sonnet-20250219_english_to_mandarin_to_english.txt,claude-3-7-sonnet-20250219,2,english,mandarin,0.0252,0.2322,0.2811
deepseek-chat_english_to_arabic_to_mandarin_to_english.txt,deepseek-chat,3,english,mandarin,0.0086,0.1321,0.1711
gemini-2.0-flash_english_to_arabic_to_french_to_mandarin.txt,gemini-2.0-flash,3,mandarin,french,0.0000,0.0000,0.0000
claude-3-7-sonnet-20250219_english_to_french_to_arabic_to_english.txt,claude-3-7-sonnet-20250219,3,english,arabic,0.0326,0.2021,0.2680
gemini-2.0-flash_english_to_mandarin_to_french_to_arabic.txt,gemini-2.0-flash,3,arabic,french,0.0025,0.0169,0.0000
gemini-2.0-flash_english_to_arabic_to_mandarin_to_french.txt,gemini-2.0-flash,3,french,mandarin,0.0066,0.1351,0.1517
gpt-4-turbo_english_to_arabic_to_mandarin_to_english.txt,gpt-4-turbo,3,english,mandarin,0.0361,0.1494,0.2340
gemini-2.0-flash_english_to_french.txt,gemini-2.0-flash,1,french,english,0.0032,0.1271,0.1696
claude-3-7-sonnet-20250219_english_to_arabic_to_english.txt,claude-3-7-sonnet-20250219,2,english,arabic,0.1789,0.4834,0.5963
gpt-3.5-turbo_english_to_arabic_to_mandarin_to_french_to_english.txt,gpt-3.5-turbo,4,english,french,0.0297,0.1425,0.2041
gpt-4-turbo_english_to_arabic_to_french_to_mandarin_to_english.txt,gpt-4-turbo,4,english,mandarin,0.0384,0.1781,0.2462
gpt-3.5-turbo_english_to_french_to_mandarin.txt,gpt-3.5-turbo,2,mandarin,french,0.0000,0.0000,0.0000
gpt-4-turbo_english_to_french_to_arabic_to_mandarin.txt,gpt-4-turbo,3,mandarin,arabic,0.0000,0.0000,0.0000
deepseek-chat_english_to_mandarin_to_french_to_arabic_to_english.txt,deepseek-chat,4,english,arabic,0.0050,0.1111,0.1792
deepseek-chat_english_to_arabic_to_french_to_english.txt,deepseek-chat,3,english,french,0.0398,0.2190,0.2680
deepseek-chat_english_to_mandarin_to_french_to_arabic.txt,deepseek-chat,3,arabic,french,0.0024,0.0168,0.0000
deepseek-chat_english_to_arabic_to_mandarin_to_french.txt,deepseek-chat,3,french,mandarin,0.0060,0.1418,0.1609
gpt-3.5-turbo_english_to_arabic.txt,gpt-3.5-turbo,1,arabic,english,0.0029,0.0228,0.0000
gpt-3.5-turbo_english_to_mandarin_to_arabic.txt,gpt-3.5-turbo,2,arabic,mandarin,0.0026,0.0170,0.0000
gpt-4-turbo_english_to_mandarin_to_arabic_to_english.txt,gpt-4-turbo,3,english,arabic,0.0028,0.1168,0.1810
deepseek-chat_english_to_french_to_english.txt,deepseek-chat,2,english,french,0.1262,0.4785,0.5537
gpt-4-turbo_english_to_mandarin_to_french_to_arabic_to_english.txt,gpt-4-turbo,4,english,arabic,0.0048,0.1273,0.1835
gpt-3.5-turbo_english_to_mandarin_to_french_to_arabic.txt,gpt-3.5-turbo,3,arabic,french,0.0026,0.0170,0.0000
deepseek-chat_english_to_arabic_to_french_to_mandarin_to_english.txt,deepseek-chat,4,english,mandarin,0.0116,0.1943,0.1750
gpt-3.5-turbo_english_to_arabic_to_mandarin_to_french.txt,gpt-3.5-turbo,3,french,mandarin,0.0078,0.1525,0.1566
gpt-4-turbo_english_to_arabic_to_mandarin.txt,gpt-4-turbo,2,mandarin,arabic,0.0000,0.0000,0.0000
deepseek-chat_english_to_mandarin_to_arabic_to_english.txt,deepseek-chat,3,english,arabic,0.0054,0.1570,0.2075
gpt-4-turbo_english_to_mandarin_to_arabic_to_french.txt,gpt-4-turbo,3,french,arabic,0.0030,0.1431,0.1409
gpt-3.5-turbo_english_to_arabic_to_french_to_mandarin.txt,gpt-3.5-turbo,3,mandarin,french,0.0000,0.0000,0.0000
claude-3-7-sonnet-20250219_english_to_mandarin_to_french_to_english.txt,claude-3-7-sonnet-20250219,3,english,french,0.0049,0.1270,0.1502
gemini-2.0-flash_english_to_arabic.txt,gemini-2.0-flash,1,arabic,english,0.0027,0.0171,0.0000
claude-3-7-sonnet-20250219_english_to_french_to_mandarin_to_arabic.txt,claude-3-7-sonnet-20250219,3,arabic,mandarin,0.0021,0.0057,0.0000
deepseek-chat_english_to_arabic_to_french_to_mandarin.txt,deepseek-chat,3,mandarin,french,0.0000,0.0000,0.0000
deepseek-chat_english_to_mandarin_to_english.txt,deepseek-chat,2,english,mandarin,0.0189,0.1805,0.3135
claude-3-7-sonnet-20250219_english_to_french_to_arabic_to_mandarin_to_english.txt,claude-3-7-sonnet-20250219,4,english,mandarin,0.0143,0.1199,0.2011
claude-3-7-sonnet-20250219_english_to_arabic_to_mandarin.txt,claude-3-7-sonnet-20250219,2,mandarin,arabic,0.0000,0.0000,0.0000
gemini-2.0-flash_english_to_mandarin_to_arabic_to_french_to_english.txt,gemini-2.0-flash,4,english,french,0.0055,0.1234,0.1896
gpt-3.5-turbo_english_to_mandarin_to_english.txt,gpt-3.5-turbo,2,english,mandarin,0.0647,0.2591,0.4118
gpt-4-turbo_english_to_french_to_mandarin.txt,gpt-4-turbo,2,mandarin,french,0.0000,0.0000,0.0000
deepseek-chat_english_to_french_to_mandarin_to_arabic_to_english.txt,deepseek-chat,4,english,arabic,0.0053,0.1126,0.1910
gpt-4-turbo_english_to_french_to_arabic_to_mandarin_to_english.txt,gpt-4-turbo,4,english,mandarin,0.0115,0.1443,0.1717
claude-3-7-sonnet-20250219_english_to_french_to_english.txt,claude-3-7-sonnet-20250219,2,english,french,0.1505,0.4740,0.5114
gpt-4-turbo_english_to_mandarin.txt,gpt-4-turbo,1,mandarin,english,0.0000,0.0000,0.0000
claude-3-7-sonnet-20250219_english_to_french_to_mandarin.txt,claude-3-7-sonnet-20250219,2,mandarin,french,0.0000,0.0000,0.0000
gemini-2.0-flash_english_to_french_to_mandarin_to_english.txt,gemini-2.0-flash,3,english,mandarin,0.0134,0.1415,0.2111
gpt-3.5-turbo_english_to_arabic_to_french_to_english.txt,gpt-3.5-turbo,3,english,french,0.0331,0.2259,0.2525
gemini-2.0-flash_english_to_arabic_to_french.txt,gemini-2.0-flash,2,french,arabic,0.0066,0.1312,0.1554
gpt-3.5-turbo_english_to_french_to_mandarin_to_english.txt,gpt-3.5-turbo,3,english,mandarin,0.0121,0.1303,0.2626
claude-3-7-sonnet-20250219_english_to_mandarin_to_french.txt,claude-3-7-sonnet-20250219,2,french,mandarin,0.0029,0.1262,0.1333
claude-3-7-sonnet-20250219_english_to_mandarin_to_arabic_to_french.txt,claude-3-7-sonnet-20250219,3,french,arabic,0.0030,0.1515,0.1395
claude-3-7-sonnet-20250219_english_to_arabic_to_mandarin_to_english.txt,claude-3-7-sonnet-20250219,3,english,mandarin,0.0164,0.1649,0.2000
gpt-4-turbo_english_to_french_to_english.txt,gpt-4-turbo,2,english,french,0.2049,0.4019,0.5341
claude-3-7-sonnet-20250219_english_to_mandarin_to_french_to_arabic_to_english.txt,claude-3-7-sonnet-20250219,4,english,arabic,0.0049,0.1386,0.1674
deepseek-chat_english_to_arabic_to_french.txt,deepseek-chat,2,french,arabic,0.0065,0.1561,0.1453
gemini-2.0-flash_english_to_arabic_to_mandarin_to_french_to_english.txt,gemini-2.0-flash,4,english,french,0.0131,0.1353,0.1773
gpt-4-turbo_english_to_french_to_mandarin_to_arabic.txt,gpt-4-turbo,3,arabic,mandarin,0.0026,0.0170,0.0000
gpt-4-turbo_english_to_mandarin_to_french.txt,gpt-4-turbo,2,french,mandarin,0.0029,0.1217,0.1508
